tiempo,Usaquen,Chapinero,Santa Fe,San Cristobal,Usme,Tunjuelito,Bosa,Kennedy,Fontibon,Engativa ,Suba,Barrios Unidos,Teusaquillo,Los Martires,Antonio Narino,Puente Aranda,La Candelaria,Uribe Uribe,Ciudad Bolivar,Sumapaz
2010,451085,125249,104816,400491,320710,185784,1068188,1052725,346241,839190,1068188,243416,140539,95341,114324,241912,22650,367376,636794,6814
2011,455991,125832,103535,400184,323719,187191,1097642,1075024,355414,845337,1097642,247049,140728,95287,113235,239441,22726,365353,650367,6910
2012,460543,126351,102175,399915,326497,188537,1127402,1097601,364709,851270,1127402,250574,140743,95177,112137,236877,22791,363284,664047,6990
2013,464619,126764,100768,399537,329134,189633,1157514,1120274,374142,856996,1157514,254001,140755,95007,111112,234191,22828,361125,677819,7063
2014,468115,126949,99340,398918,331730,190289,1188071,1142901,383742,862557,1188071,257353,140766,94779,110239,231368,22824,358845,691693,7139
2015,470922,126956,97920,397919,334376,190318,1219135,1165318,393533,867976,1219135,260646,140772,94487,109603,228388,22764,356408,705663,7224
2016,472908,126951,96534,396383,337152,189522,1250734,1187315,403519,873243,1250734,263883,140767,94130,109277,225220,22633,353761,719700,7330
2017,474186,126591,95201,394358,340101,187971,1282978,1208980,413734,878434,1282978,267106,140473,93716,109254,221906,22438,350944,733859,7457
2018,475275,126192,93857,392220,342940,186383,1315509,1230539,424038,883319,1315509,270280,140135,93248,109199,218555,22243,348023,748012,7584
2019,476184,125750,92490,389945,345689,184743,1348372,1252014,434446,887886,1348372,273396,139776,92755,109104,215191,22041,344990,762184,7711
2020,476931,125294,91111,387560,348332,183067,1381597,1273390,444951,892169,1381597,276453,139369,92234,108976,211802,21830,341886,776351,7838
